1#0101	本类似群各部分之间商品不类似；
109#0501	杀真菌剂，杀菌剂，灭菌剂，卫生消毒剂，消毒剂与0503化学盥洗室用消毒剂，0505灭干朽真菌制剂，灭微生物剂，土壤消毒制剂，农业用杀菌剂类似，与第九版及以前版本0505土壤消毒剂，第八版及以前版本0503污物消毒剂，污物消毒制剂交叉检索；

110#0501	牙科用药与第六版及以前版本0507牙科用药交叉检索；

111#0501	轻便药箱（已装药的），急救箱（备好药的）与1001医生用器械箱，医疗器械箱类似，与第十版及以前版本外科医生和医生用器械箱，外科医生和医生用箱交叉检索；

112#0501	防寄生虫制剂，驱肠虫药，医用及兽医用细菌学研究制剂，医用和兽医用细菌制剂，医用或兽医用微生物培养物，医用或兽医用微生物制剂，杀寄生虫药，医用或兽医用化学试剂，人和动物用微量元素制剂与0504商品类似；

113#0501	医用洗浴制剂，药浴用海水，浴用泥浆与0301第一、二自然段，0306洗澡用化妆品类似；

114#0501	 医用阴道清洗液，医用下体注洗液与0301个人清洁或祛味用下体注洗液，非医用个人私处清洗液，个人清洁或祛味用阴道洗液类似；

115#0501	 矿泉水沐浴盐与0301非医用沐浴盐，浴盐类似；

116#0501	 防寄生虫制剂，杀寄生虫药与0505杀寄生虫剂类似；

117#0501	 除口臭药片与0502医用口香糖类似；

118#0501	第（二）部分与第十版及以前版本第（一）部分医用X光造影剂交叉检索；

119#0501	 抗菌皂，消毒皂，药皂与0301杏仁肥皂，肥皂，剃须皂，汗足皂，除臭皂，香皂，防汗皂类似，与第十版及以前版本0301消毒皂，药皂交叉检索；

120#0501	 含药物的牙膏与0307商品类似；

121#0501	 抗菌洗手液与第十版及以前版本0301抑菌洗手剂交叉检索；

122#0501	 本类似群含药物的化妆、梳洗制剂类商品根据功能用途与3类不含药物的相应商品类似。

123#0502	药制糖果，医用树胶，医用糖果与0501第（一）部分第一、二自然段类似；

124#0502	第二自然段与0501第（一）部分第一、二自然段，3005商品类似；

125#0502	婴儿含乳面粉，婴儿食品，婴儿配方奶粉，婴儿奶粉与 2907 牛奶，牛奶饮料（以牛奶为主） ，牛奶制品，白朊牛奶，蛋白质牛奶，奶粉类似；

126#0502	医用口香糖与0501除口臭药片类似。

127#0503	  化学盥洗室用消毒剂，厕所除臭剂与0302厕所清洗剂类似；

128#0503	漂白粉(消毒)与0301漂白盐，漂白碱，洗衣用漂白剂，漂白水类似，与第九版及以前版本0104第(一)部分漂白剂交叉检索；

129#0503	化学盥洗室用消毒剂与0501杀真菌剂，杀菌剂，灭菌剂，卫生消毒剂，消毒剂，0505灭干朽真菌制剂，灭微生物剂，土壤消毒制剂，农业用杀菌剂类似，与第九版及以前版本0505土壤消毒剂交叉检索；

130#0503	本类似群与0310商品类似。

131#0504	 牲畜用洗涤剂（杀虫剂），狗用洗涤液（杀虫剂），动物用洗涤剂（杀虫剂），动物用杀虫沐浴露，兽医用杀虫洗涤剂，含药物的宠物用沐浴露与0309宠物用沐浴露（不含药物的清洁制剂），动物用沐浴露（不含药物的清洁制剂）类似，与第十版及以前版本0309宠物用香波交叉检索；

132#0504	本类似群与0501防寄生虫制剂，驱肠虫药，医用及兽医用细菌学研究制剂，医用和兽医用细菌制剂，医用或兽医用微生物培养物，医用或兽医用微生物制剂，杀寄生虫药，医用或兽医用化学试剂，人和动物用微量元素制剂类似，与第九版及以前版本0501防寄生虫制剂(人或兽用)，打虫药(人或兽用)，驱虫剂(人或兽用)，医用或兽医用培养基，医用或兽医用微生物培养体，杀寄生虫药(人或兽用)，人用和兽用微量元素制剂交叉检索；

133#0504	兽医用试纸与第十版及以前版本0501试纸（医用或兽医用）交叉检索。

134#0505	第一、二自然段与0105第一、二自然段，0109植物生长调节剂，0113水果催熟用激素类似，与第九版及以前版本0113水果催熟激素交叉检索；

135#0505	灭干朽真菌制剂，灭微生物剂，土壤消毒制剂，农业用杀菌剂与0501杀真菌剂，杀菌剂，灭菌剂，卫生消毒剂，消毒剂，0503化学盥洗室用消毒剂类似，与第八版及以前版本0503污物消毒剂，污物消毒制剂交叉检索；

136#0505	杀寄生虫剂与0501杀寄生虫药类似。

137#0506	本类似群各部分之间商品不类似；

138#0506	卫生棉条，卫生护垫，卫生巾，浸药液的薄纸，消毒纸巾与1603卫生纸，纸手帕，卸妆用薄纸，纸餐巾，纸巾，纸制洗脸巾，纸制抹布类似，与第十版及以前版本1603卸妆用纸巾，第九版及以前版本1603纸或纤维素制婴儿餐巾(一次性)，纸制或纤维制婴儿餐巾(一次性)交叉检索；

139#0506	消毒纸巾与0306浸化妆水的薄纸，浸卸妆液的薄纸类似，与第九版及以前版本0306浸化妆品的卫生纸，浸化妆品的薄纸交叉检索；

140#0506	月经内裤，卫生内裤与2501内裤，女士内裤类似，与第十版及以前版本2501内裤(服装)交叉检索；

141#0506	失禁用尿布，失禁用吸收裤，婴儿尿布，婴儿尿裤与第十版及以前版本1004失禁用垫，第九版及以前版本1603纸或纤维素制婴儿尿布（一次性），纸制和纤维制婴儿尿布（一次性），纸或纤维素制婴儿尿布裤（一次性），纸制和纤维制婴儿尿裤（一次性），纸制或纤维制婴儿尿布（一次性）交叉检索；

142#0506	婴儿尿布，婴儿尿裤与第九版及以前版本2502婴儿纺织品尿布交叉检索；

143#0506	包扎绷带，外科用肩绷带与1008矫形用关节绷带，支撑绷带，弹性绷带，悬吊式绷带，矫形用膝绷带，矫形用石膏绷带，吊带（支撑绷带）类似，与第十版及以前版本1008矫形用石膏绷带（模压品），第九版及以前版本1008吊绷带等绷带类商品交叉检索；

144#0506	医用棉签与0306化妆用棉签类似，与第十版及以前版本0306棉签(梳妆用品)交叉检索。

145#0601	第三自然段商品与0603建筑用金属盖板，建筑用金属衬板，金属隔板，建筑用金属嵌板，钢模板，建筑用金属平板等金属制板材类似，与第九版及以前版本0603建筑用金属板交叉检索；

146#0601	锚定板与0604铁路金属材料类似；

147#0601	金属支架与第九版及以前版本的0603装货物用金属支架交叉检索；

148#0601	镁与0101碱土金属类似。

149#0602	※管道用金属墙钩C060046

150#0602	本类似群商品与1108第（一）部分商品类似；

151#0602	金属阀门（非机器部件），金属排水阱（阀），金属水管阀与0749第（二）部分商品类似。

152#0602	管道用金属墙钩与第9版及以前版本0608管道用金属墙钩交叉检索；

153#0602	跨类似群保护商品：缆绳和管道用金属夹（0602，0606）。

154#0603	 建筑用金属盖板，建筑用金属衬板，金属隔板，建筑用金属嵌板，钢模板，建筑用金属平板等金属制板材与0601第三自然段商品类似；

155#0603	铝塑板与第八版及以前版本1909铝塑板(以塑料为主)交叉检索；

156#0603	金属门，金属固定百叶窗，金属制室外百叶帘，金属百叶窗，金属大门，金属竖铰链窗，金属窗等金属制门窗与1909塑钢门窗类似；

157#0603	本类似群与第九版及以前版本0615金属鸟舍(建筑物)交叉检索；

158#0603	预应力锚具与0733预应力锚具张拉设备类似；

159#0603	金属脚手架扣件与第七版及以前版本0607金属脚手架扣件交叉检索；

160#0603	金属旋转栅门与第九版及以前版本0914自动旋转栅门交叉检索；

161#0603	光伏电池组成的金属屋顶板与0922太阳能电池，发电用太阳能电池板类似；

162#0603	金属旗杆与第十版及以前版本2003旗杆交叉检索。

163#0604	铁路金属材料与0601锚定板类似。

164#0606	跨类似群保护商品：缆绳和管道用金属夹（0602，0606）。

165#0607	跨类似群保护商品：五金器具（0607，0608，0609）；小五金器具（0607，0608，0609）。

166#0608	金属门闩，金属闩与第十版及以前版本0603 金属闩交叉检索；

167#0608	金属门把手，球形金属把手与第九版及以前版本的0609金属把手包头，2103球形瓷把手，瓷制门把手交叉检索；

168#0608	跨类似群保护商品：五金器具（0607，0608，0609）；小五金器具（0607，0608，0609）。

169#0609	跨类似群保护商品：五金器具（0607，0608，0609）；小五金器具（0607，0608，0609）。

170#0609	金属制手持旗杆与第十版及以前版本2003旗杆交叉检索。

171#0610	  本类似群除金属钥匙以外的其他商品与0920电锁类；

172#0610	金属钥匙与2003非金属钥匙类似。

173#0612	钢滚珠与第九版及以前版本的0750滚珠，轴承滚珠交叉检索。

174#0613	冷铸模（铸造）与0736铸模（机器部件），压铸模；0735冷冲模类似。

175#0613	金属信箱与第九版及以前版本0603金属信箱交叉检索

176#0613	本类似群商品与第十版及以前版本0609金属密封盖，金属瓶盖，金属瓶帽，瓶用金属密封盖，金属瓶塞，瓶用金属紧固塞交叉检索。

177#0617	锚与0734船用自动锚类似，与第九版及以前版本的0734航海自动小锚，1210船锚，小船用锚，锚链交叉检索。

178#0618	金属制身份鉴别手环与2010类似。

179#0620	树或植物的金属支桩与2007树或植物的非金属支桩类似，与第十版及以前版本2007树或植物的支桩交叉检索。

180#0701	 喷雾机与0803杀虫剂用喷雾器（手工具），杀虫剂用喷洒器类似，与第九版及以前版本0803杀虫喷雾器（手工具），杀虫剂喷雾器（手工具），杀虫用喷雾器交叉检索；

181#0701	排水机与1108组农业用排灌机类似；

182#0701	本类似群与第十版及以前版本0709砻谷机，第七版及以前版本0708采茶机交叉检索。

183#0702	本类似群各部分之间商品不类似；

184#0702	跨类似群保护商品：粉碎机（0702第（二）部分，0725，0733，0752）；工业用切碎机（机器）（0702第（二）部分，0709，0752）；

185#0702	本类似群第（二）部分与第八版及以前版本的0753粉碎机，粉碎机（机器），工业用切碎机（机器）交叉检索。

186#0703	锯条（机器部件），机锯（机器）与0742链锯，带锯，圆锯片（机器零件），龙锯，截锯（机器零件），往复锯类似。

187#0704	本类似群各部分之间商品不类似；

188#0704	跨类似群保护商品：砑光辊（0704第（一）部分，0706，0712）；砑光机（0704第（一）部分，0706，0712）；轧光机（0704第（一）部分，0706）；

189#0704	本类似群第（一）部分与第九版及以前版本的0712砑光机交叉检索。

190#0705	印刷版与1618凸印版，胶版，电铸版类似，与第九版及以前版本1618印版，胶印板，电版交叉检索；

191#0706	纺织工业用机器与0707商品类似；

192#0706	旋转式脱水机（非加热）与第八版及以前版本的0704脱水机交叉检索；

193#0706	跨类似群保护商品：旋转式脱水机（非加热）（0706，0724）； 砑光辊（0704第（一）部分，0706，0712）； 砑光机（0704第（一）部分，0706，0712）；轧光机（0704第（一）部分，0706）；

194#0706	本类似群与第九版及以前版本的0712砑光机交叉检索。

195#0707	印花花筒雕刻设备与0712压花机类似；

196#0707	本类似群商品与0706纺织工业用机器类似。

197#0709	 食品包装机与0721包装机，包装机械类似；

198#0709	本类似群与第八版及以前版本0753混合机(机器)，搅拌机，搅拌机(机器)，工业用切碎机(机器)交叉检索；

199#0709	跨类似群保护商品:搅动机(0709，0723，0733);搅拌机(0709，0723，0733);混合机(机器)(0709，0723，0733);工业用切碎机(机器)(0702 第(二)部分，0709，0752);磨粉机(机器)(0709，0725);瓶子冲冼机(0709，0710);离心碾磨机(0709，0723，0725)；电动榨果汁机(0709，0710，0723)；碾碎机（0709，0733，0752）。

200#0710	 本类似群与第八版及以前版本0709瓶子冲冼机交叉检索；

201#0710	跨类似群保护商品:瓶子冲冼机(0709，0710)；电动榨果汁机（0709，0710，0723）。

202#0712	压花机与0707印花花筒雕刻设备类似；

203#0712	跨类似群保护商品： 砑光辊（0704第（一）部分，0706，0712）； 砑光机（07040704第（一）部分，0706，0712）。

204#0716	本类似群商品与第十版及以前版本0705塑料套管印字切割机，塑料导线印字机，0742电线印号机交叉检索。

205#0718	本类似群根据商品功能、用途确定类似商品；

206#0718	本类似群第三自然段商品之间类似。

207#0721	 包装机，包装机械与0709食品包装机类似；

208#0721	本类似群与第七版及以前版本0743气动捆扎机交叉检索；

209#0721	塑料封口用电动装置(包装用)与第九版及以前版本0903封塑料用电动器械(包装用)交叉检索。

210#0723	 本类似群与第八版及以前版本0753混合机(机器)，搅拌机，搅拌机(机器)交叉检索；

211#0723	本类似群与第八版及以前版本0709离心碾磨机交叉检索；

212#0723	跨类似群保护商品:搅动机(0709，0723，0733);搅拌机(0709，0723，0733);混合机(机器)(0709，0723，0733);离心碾磨机(0709，0723，0725)；电动榨果汁（0709，0710，0723）。

213#0724	本类似群与1106电干衣机类似，与第十一版及以前版本1106电动干衣机，第九版及以前版本1106家用干衣机（电烘干）交叉检索；

214#0724	本类似群与第八版及以前版本的0704脱水机交叉检索；

215#0724	本类似群与第八版及以前版本的0706旋转式脱水机，干燥机（脱水式）交叉检索；

216#0724	跨类似群保护商品：旋转式脱水机（非加热）（0706，0724）。

217#0725	本类似群与第八版及以前版本的0753粉碎机、粉碎机（机器）交叉检索；

218#0725	本类似群与第八版及以前版本的0709磨粉机（机器），离心碾磨机交叉检索；

219#0725	跨类似群保护商品：磨粉机（机器）（0709，0725）；离心碾磨机（0709，0723，0725）；粉碎机（0702第（二）部分；0725；0733；0752）

220#0726	 第二自然段为橡胶工业用机器，第三自然段为塑料工业用机器；

221#0726	生产球拍线机械与第九版及以前版本0753生产球拍线机械交叉检索。

222#0733	预应力锚具张拉设备与0603预应力锚具类似；

223#0733	铁路液压养路机具与第十版及以前版本0604铁路液压养路机具交叉检索；

224#0733	本类似群与第七版及以前版本0730石材切割机，0734装载机交叉检索；

225#0733	本类似群与第八版及以前版本0753混合机(机器)，搅拌机，粉碎机，粉碎机(机器)交叉检索；

226#0733	跨类似群保护商品:搅动机(0709，0723，0733);搅拌机(0709，0723，0733)；粉碎机(0702第(二)部分，0725，0733，0752);混合机(机器)(0709，0723，0733)；碾碎机（0709，0733，0752）。

227#0734	齿条齿轮千斤顶，千斤顶（机器），铁路货车用千斤顶，气动千斤顶与0808手动千斤顶类似，与第九版及以前版本0808手操作千斤顶交叉检索；

228#0734	船用自动锚与0617锚类似，与第九版及以前版本的1210船锚，小船用锚，锚链交叉检索；

229#0734	电梯操作装置，升降机操作装置与第九版及以前版本0914升降机操作设备，升降机操作装置交叉检索。

230#0734	本类似群与第十版及以前版本 0749 气动传送装置，气动管道传送器交叉检索。

231#0735	本类似群商品与0743手动液压机类似；

232#0735	本类似群与第八版及以前版本的0742穿孔机冲头，穿孔机，冲床（工业用机器），金属加工机械，机械加工装置交叉检索；

233#0735	印模冲压机，冷冲模与第九版及以前版本的0736印模冲压机，冷冲模交叉检索；

234#0735	冷冲模与0613冷铸模（铸造）类似；

235#0735	跨类似群保护商品：整修机（机械加工装置）（0735，0742第（一）部分）；金属加工机械（0735，0736；0742第（一）部分）；整形机（0735，0742第（一）部分）。

236#0736	铸模（机器部件），压铸模与0613冷铸模（铸造）类似；

237#0736	本类似群与第八版及以前版本的0742金属加工机械交叉检索；

238#0736	跨类似群保护商品:金属加工机械(0735，0736，0742第(一)部分)。

239#0737	蒸汽机锅炉与1107蒸汽锅炉（非机器部件）类似。

240#0738	 火花节能器与第十版及以前版本1107燃料节省器，节油器交叉检索；

241#0738	本类似群与第七版及以前版本1202汽车零部件，汽车配件，1203摩托车配件及其他现属于0738、0748的发动机零部件等商品交叉检索；

242#0738	本类似群与0748第(二)部分类似；

243#0738	本类似群与第七版及以前版本0750汽化器，活塞(机器或发动机部件)，活塞(机器或发动机零件)，活塞环，马达引擎用消声器，发动机和引擎用排气装置交叉检索。

244#0742	本类似群各部分之间商品不类似；

245#0742	链锯，带锯，圆锯片（机器零件），龙锯，截锯（机器零件），往复锯与0703锯条（机器部件），机锯（机器）类似，与第九版及以前版本0703锯条（机器零件）交叉检索；

246#0742	砂轮（机器部件）与0801各种砂轮类似；

247#0742	本类似群第（一）部分与第八版及以前版本的0735整修机交叉检索；

248#0742	跨类似群保护商品：整形机（0735，0742第（一）部分）；整修机（机械加工装置）（0735，0742第（一）部分）；金属加工机械（0735；0736；0742第（一）部分）。

249#0743	手动液压机与0735商品类似；

250#0743	本类似群与第八版及以前版本的0701电动刀交叉检索；

251#0743	本类似群与第七版及以前版本的0742角向磨光机交叉检索；

252#0743	挤压胶粘剂用压缩气枪与第十版及以前版本的0749挤压胶粘剂用压缩气枪交叉检索。

253#0748	本类似群第各部分之间商品不类似；

254#0748	本类似群第（二）部分商品与0738商品类似；

255#0748	马达和引擎用节油器与第十版及以前版本1107燃料节省器，节油器交叉检索；

256#0748	本类似群第(二)部分与第七版及以前版本1202汽车零部件，汽车配件，1203摩托车配件及其他现属于0738、0748的发动机零部件等商品交叉检索；

